,Final Score
lOComment,-113.93364277223849
loc,-113.89060530763996
lOBlank,-113.88308009250322
uniq_Opnd,-113.8804795311825
uniq_Op,-113.76670498224112
I,-113.75659018162578
lOCode,-113.74649748306827
B,-113.73889210080023
E,-113.7363560399469
locCodeAndComment,-113.71869572307179
V,-113.71360333567482
T,-113.70602923496553
branchCount,-113.69845052102191
D,-113.69086812732263
total_Op,-113.69085984844223
total_Opnd,-113.68581073875595
N,-113.67823761838311
L,-113.66307189288979
iv(G),-113.66306450987754
ev(g),-113.63527381031254
v(g),-113.6251673449138
